date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:11	56551/56551	---M--	200	added ('OK')	image/jpeg	etag:%228f18ae5bf7bed69840c5a5f7b9604506:1438785243%22	http://media.blizzard.com/wow/legion-6a153ad2/images/demon-hunter-male.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/demon-hunter-male.jpg	(from http://eu.battle.net/wow/en/legion/)
18:30:15	34585/34585	---M--	200	added ('OK')	image/png	etag:%22f1254ecff08da270c6e3fc12d750527a:1438785250%22	http://media.blizzard.com/wow/legion-6a153ad2/images/spectral-sight-icon.png	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/spectral-sight-icon.png	(from http://eu.battle.net/wow/en/legion/)
18:30:17	34446/34446	---M--	200	added ('OK')	image/png	etag:%22804fcf82b085ad85f0c985a6c77da431:1438785249%22	http://media.blizzard.com/wow/legion-6a153ad2/images/metamorphosis-icon.png	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/metamorphosis-icon.png	(from http://eu.battle.net/wow/en/legion/)
18:30:17	249303/249303	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jun%202016%2021:53:14%20GMT	http://eu.battle.net/wow/static/images/seven-oh/logo.png	C:/Users/Niki/Desktop/legion/legion/eu.battle.net/wow/static/images/seven-oh/logo.png	(from http://eu.battle.net/wow/en/legion/)
18:30:20	33328/33328	---M--	200	added ('OK')	image/png	etag:%22c3670a8b56984a29ae5d48f728f46834:1438785249%22	http://media.blizzard.com/wow/legion-6a153ad2/images/mobility-icon.png	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/mobility-icon.png	(from http://eu.battle.net/wow/en/legion/)
18:30:21	25397/25397	---M--	200	added ('OK')	image/jpeg	etag:%22057bd17fe3ede65f3c655856a4ac8bec:1438785242%22	http://media.blizzard.com/wow/legion-6a153ad2/images/class-nelf-female-tank-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/class-nelf-female-tank-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:30:26	286233/286233	---M--	200	added ('OK')	image/jpeg	etag:%2256ad0588f351c970905efb38fbb3ba2c:1438785243%22	http://media.blizzard.com/wow/legion-6a153ad2/images/header-illidan-still.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/header-illidan-still.jpg	(from http://eu.battle.net/wow/en/legion/)
18:30:27	32664/32664	---M--	200	added ('OK')	image/jpeg	etag:%2260220026e482990444d8422ac9e37d5c:1438785242%22	http://media.blizzard.com/wow/legion-6a153ad2/images/class-base-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/class-base-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:30:31	24059/24059	---M--	200	added ('OK')	image/jpeg	etag:%225c4e516629d3acb47f7c08b30fe09d1f:1438785242%22	http://media.blizzard.com/wow/legion-6a153ad2/images/class-belf-male-dps-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/class-belf-male-dps-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:14	263889/263889	---M--	200	added ('OK')	image/png	etag:%221ee7ad1c26301316c09e3192531c8c17:1438785241%22	http://media.blizzard.com/wow/legion-6a153ad2/images/ashbringer-compact.png	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/ashbringer-compact.png	(from http://eu.battle.net/wow/en/legion/)
